,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
825,80016,24026 E Jamison Drive,"Aurora, CO 80016","Mar 20, 2020","$695,000","$680,000",Single Family Residential,2004,5713,4,5,Creekside Eagle Bend,Creekside Eagle Bend,"$4,617",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$130,Conventional
826,80016,22146 E Phillips Place,"Aurora, CO 80016","Jan 13, 2020","$724,500","$680,000",Single Family Residential,2004,4040,4,3,Heritage Eagle Bend,Heritage Eagle Bend,"$5,531",Cherry Creek 5,2,2,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$271,Cash
827,80016,25403 E Aberdeen Drive,"Aurora, CO 80016","Jan 14, 2020","$699,900","$680,000",Single Family Residential,2016,5394,5,4,Wheatlands,Wheatlands,"$6,291",Cherry Creek 5,3,3,"Full, Finished, Interior Entry, Heated, Sump Pump",$65,Conventional
828,80016,16386 E Lake Drive,"Centennial, CO 80016","Aug 30, 2019","$690,000","$680,000",Single Family Residential,2003,6281,5,5,Piney Creek Village,Piney Creek Village,"$7,490",Cherry Creek 5,3,3,"Full, Interior Entry, Bath/Stubbed, Unfinished",$850,Cash
829,80016,6746 S Biloxi Court,"Aurora, CO 80016","Nov 08, 2019","$699,900","$680,000",Single Family Residential,2014,5296,5,5,Tallyns Reach,Tallyns Reach,"$6,183",Cherry Creek 5,3,3,"Full, Finished, Sump Pump",$82,Conventional
830,80016,27840 E Links Place,"Aurora, CO 80016","Sep 06, 2019","$700,000","$680,000",Single Family Residential,2016,5448,3,3,Blackstone Country Club,Blackstone Country Club,"$6,419",Cherry Creek 5,3,3,"Exterior Entry, Full, Unfinished, Walk-Out Access",$150,Conventional
831,80016,6537 S Piney Creek Circle,"Centennial, CO 80016","Jul 08, 2019","$674,900","$680,000",Single Family Residential,1997,3544,4,3,Piney Creek Ranches,Piney Creek Ranches,"$2,765",Cherry Creek 5,2,2,"Full, Finished, Interior Entry, Walk-Out Access, Heated",,Conventional
832,80016,8087 S Coolidge Way,"Aurora, CO 80016","Mar 11, 2019","$679,900","$680,000",Single Family Residential,2005,5817,4,4,Creekside Eagle Bend,Creekside Eagle Bend,"$3,936",Cherry Creek 5,3,3,"Full, Bath/Stubbed, Unfinished, Walk-Out Access",$130,Conventional
833,80016,23577 E Rocky Top Avenue,"Aurora, CO 80016","Dec 14, 2020","$679,900","$679,900",Single Family Residential,2014,4421,5,5,Rockinghorse,Rockinghorse,"$5,926",Douglas RE-1,4,4,"Finished, Partial, Walk-Out Access",$294,Conventional
834,80016,6189 S Oak Hill Way,"Aurora, CO 80016","Oct 23, 2020","$679,900","$679,900",Single Family Residential,2011,4886,6,6,Beacon Point,Beacon Point,"$5,635",Cherry Creek 5,3,3,Full,$150,Conventional
835,80016,6859 S Coolidge Court,"Aurora, CO 80016","Jun 25, 2020","$679,900","$679,900",Single Family Residential,2011,5045,4,4,Tallyns Reach,Tallyns Reach,"$5,812",Cherry Creek 5,3,3,"Bath/Stubbed, Unfinished",$185,Conventional
836,80016,23595 E Phillips Place,"Aurora, CO 80016","Jul 13, 2018","$679,900","$679,900",Single Family Residential,2001,4624,4,3,Heritage Eagle Bend,Heritage Eagle Bend,"$4,793",Cherry Creek 5,2,2,"Full, Finished, Walk-Out Access",$251,Cash
837,80016,27312 E Otero Place,"Aurora, CO 80016","Jul 03, 2019","$679,900","$679,900",Single Family Residential,2007,5248,3,3,Blackstone Country Club,Blackstone Country Club,"$6,649",Cherry Creek 5,3,3,"Full, Unfinished, Walk-Out Access",$160,Conventional
838,80016,8145 S Vandriver Way,"Aurora, CO 80016","Oct 20, 2018","$684,900","$679,900",Single Family Residential,2018,4332,4,4,Blackstone Country Club,Blackstone Country Club,$1,Cherry Creek 5,3,3,"Exterior Entry, Full, Bath/Stubbed, Walk-Out Access",$190,Conventional
